Types	Class
multidrug	aminoglycoside antibiotic;diaminopyrimidine antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic
multidrug	aminoglycoside antibiotic;fluoroquinolone antibiotic
multidrug	aminoglycoside antibiotic;fluoroquinolone antibiotic;rifamycin antibiotic;tetracycline antibiotic
multidrug	carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;monobactam;penam;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan
multidrug	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic
multidrug	carbapenem;cephalosporin;diaminopyrimidine antibiotic ;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic
multidrug	cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan
multidrug	cephalosporin;cephamycin;fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic
multidrug	cephalosporin;cephamycin;fluoroquinolone antibiotic;penam
multidrug	cephalosporin;fluoroquinolone antibiotic;fusidic acid;macrolide antibiotic
multidrug	cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan
multidrug	cephalosporin;fluoroquinolone antibiotic;monobactam
multidrug	cephalosporin;monobactam
multidrug	cephalosporin;monobactam;penam
multidrug	cephalosporin;monobactam;penam;penem
multidrug	cephalosporin;penam
multidrug	cephalosporin;penam;peptide antibiotic
multidrug	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic
multidrug	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic
multidrug	disinfecting agents and intercalating dyes
multidrug	fluoroquinolone antibiotic;macrolide antibiotic
multidrug	fluoroquinolone antibiotic;macrolide antibiotic;penam
multidrug	fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic
multidrug	fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic
multidrug	fluoroquinolone antibiotic;macrolide antibiotic;rifamycin antibiotic
multidrug	fluoroquinolone antibiotic;tetracycline antibiotic
multidrug	glycylcycline;tetracycline antibiotic
multidrug	isoniazid;rifamycin antibiotic
multidrug	lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic
multidrug	lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic;tetracycline antibiotic
multidrug	lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic
multidrug	lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic
multidrug	macrolide antibiotic;penam
multidrug	macrolide antibiotic;tetracycline antibiotic;triclosan
multidrug	penam;tetracycline antibiotic
multidrug	peptide antibiotic;rifamycin antibiotic
mupirocin	mupirocin
nitroimidazole antibiotic	nitroimidazole antibiotic
nucleoside antibiotic	nucleoside antibiotic
peptide antibiotic	peptide antibiotic
phenicol antibiotic	phenicol antibiotic
pleuromutilin antibiotic	pleuromutilin antibiotic
rifamycin antibiotic	rifamycin antibiotic
sulfonamide antibiotic	sulfonamide antibiotic
sulfonamide antibiotic	sulfonamide antibiotic;sulfone antibiotic
tetracycline antibiotic	tetracycline antibiotic
triclosan	triclosan
