Accesion	lengh
CP000267.1	405
AJVX01000039.1	405
AY545598.5	405
CXZV01000067.1	405
CP002868.1	402
JOSO01000047.1	402
CP001053.1	402
AQAX01000058.1	402
AQAY01000096.1	402
ABLD01000034.1	402
MTKG01000140.1	402
CP001052.1	402
AE014073.1	402
ABLD01000034.1	402
CP000618.1	399
LRLC01000007.1	399
MNRB01000036.1	399
CP002738.1	399
CP002349.1	399
CP000272.1	399
CP011072.1	396
AJHK02000009.1	396
CP002959.1	396
ABHC01000011.1	396
CP000697.1	396
MJVB01000045.1	394
CP002417.1	393
CP000529.1	393
CP005188.1	393
CP002417.1	393
LGMY01000073.1	392
CP013251.1	390
AP012547.1	390
CP009122.1	387
CP012199.1	387
CU459003.1	387
CP001635.1	387
HG916855.1	384
AIEX01000012.1	381
CP001281.2	381
CP000697.1	378
FCOK02000015.1	378
CXCB01000085.1	378
CP000514.1	378
LGNA01000003.1	376
LGMC01000237.1	375
CP001349.1	375
CP001918.1	375
CP004393.1	375
CP002784.1	375
CP005083.1	375
CU459003.1	375
AIGD01000018.1	372
CXES01000100.1	372
CXFA01000138.1	372
CP002783.1	372
AHUG01000018.1	372
CP003837.1	372
CP005973.1	372
LN554846.1	369
CP002783.1	369
CP002783.1	369
CDSA010000003.1	369
APYM01000365.1	366
AQAY01000084.1	366
AQER01000011.1	366
AQAT01000033.1	366
JOQU01000050.1	366
AQDE01000182.1	366
AQGG01000193.1	366
AVRH01000089.1	366
AQCM01000111.1	366
LCVH01000264.1	366
AQAT01000090.1	366
APYS01000005.1	366
CXDK01000097.1	366
APYK01000160.1	366
APYM01000351.1	366
AQBF01000082.1	366
AQBK01000080.1	366
CP000266.1	366
AQEI01000252.1	366
AGTD01000001.1	366
APZD01000009.1	366
AGTD01000001.1	366
AQAT01000121.1	366
AQCX01000089.1	366
CELV01000241.1	366
AQDA01000008.1	366
AQCM01000121.1	366
AQEW01000015.1	366
AQAU01000017.1	366
AFAS01000241.1	366
CXGV01000152.1	366
APYO01000088.1	366
AQBB01000072.1	366
JMGV01000152.1	366
AQDV01000025.1	366
APYO01000094.1	366
CYEP01000047.1	366
AQBD01000003.1	366
AQAU01000033.1	366
AQCT01000008.1	366
AQAT01000123.1	366
APXD01000215.1	366
AQDZ01000117.1	366
JOSO01000067.1	366
AQAT01000100.1	366
APXB01000113.1	366
CP002186.1	366
JNQO01000039.1	366
AQAW01000116.1	366
APYJ01000096.1	366
AQAX01000029.1	366
APZR01000041.1	366
JOQU01000022.1	366
CP003150.1	366
AQEO01000016.1	366
AQAV01000154.1	366
AERO01000170.1	366
CU459003.1	366
AQDT01000099.1	366
JNMR01000037.1	366
CP002730.1	366
JOOW01000006.1	366
AQAV01000153.1	366
CP000473.1	363
MNRX01000006.1	362
CP000356.1	360
CP000473.1	360
CP000036.1	360
AAOH01000001.1	360
CP000473.1	357
CP003917.1	357
AAOH01000001.1	357
LRKT01000253.1	354
CP000698.1	351
DQ388534.1	351
MIWD01000272.1	351
CP002736.1	351
CP000034.1	351
MIWD01000140.1	351
CP000616.1	348
CU928162.2	348
AE014073.1	348
CYEP01000026.1	348
CP004387.1	345
LRLC01000006.1	345
CU928162.2	345
APYJ01000111.1	343
APYJ01000108.1	343
CP002447.1	342
CP005083.1	339
CP001392.1	339
AM902716.1	339
CP004387.1	339
CP004387.1	339
AP014651.1	336
CP000490.1	333
CP000831.1	333
AAUJ02000001.1	333
FQ482074.1	333
CP002287.1	333
CP002738.1	333
CWST01000109.1	330
CP009122.1	330
JPGY02000001.1	330
CP017633.1	330
HE798385.1	330
CP000616.1	327
CP005083.1	327
AM902716.1	327
CP012199.1	327
AE014073.1	327
AJHK02000009.1	327
CP001383.1	327
CP004393.1	327
CP000490.1	324
CP000539.1	324
CP000490.1	324
CP002657.1	324
CP002449.1	324
CP000490.1	324
CP002657.1	324
CP002417.1	324
LGMG01000109.1	324
CP000539.1	324
CP002449.1	324
CP000721.1	321
AP012304.1	321
CP000471.1	321
CP001046.1	318
AP014611.1	318
CP001921.1	318
AP014580.1	315
FCOM02000090.1	315
AFHD01000025.1	315
LGMY01000049.1	313
CP003837.1	312
CP000681.1	312
CP000302.1	312
CP000891.1	312
CP003879.1	312
CP007448.1	312
CP000503.1	312
AVRH01000083.1	312
CP003380.1	309
CP002527.1	309
LNYY01000019.1	309
CP001715.1	306
CP000316.1	306
CP000514.1	306
CP005966.1	306
ABKY02000010.1	306
CP000514.1	306
AQDR01000015.1	306
CP000749.1	306
MSKE01000468.1	304
LFAQ01000019.1	303
CP000690.1	303
CP000471.1	303
LETO01000030.1	303
CP000616.1	303
JCLY01000004.1	303
CP003027.1	303
CP001063.1	303
CP000034.1	303
CP001384.1	303
CP001918.1	303
CP002868.1	303
CP003150.1	303
LGMW01000066.1	300
CP001013.1	300
CP000529.1	300
HM138194.1	300
FN822745.1	300
CP001715.1	300
LN997846.1	300
AQAW01000167.1	297
CP003837.1	297
CP003235.1	297
CP004849.1	297
CP000680.1	297
CP017242.1	297
CP000616.1	297
AQDR01000023.1	297
AQBB01000020.1	297
AQBC01000051.1	297
AQBB01000038.1	297
JNQN01000086.1	297
JOQM01000132.1	297
AQBD01000009.1	297
APYR01000089.1	297
LNYQ01000002.1	294
CP002657.1	294
CP003740.1	294
CP000471.1	294
CP001392.1	294
ANZB01000001.1	294
CP004851.1	294
AQAW01000076.1	293
AQAW01000027.1	293
CP000891.1	291
CP000724.1	291
MSJX01000203.1	291
FN649418.1	291
CP000302.1	291
CP000891.1	291
CP000891.1	291
LGTC01000001.1	288
APXP01000193.1	288
CP001715.1	288
CP003235.1	288
AELA02000021.1	288
CP002657.1	288
AERM01000224.1	288
CP003235.1	288
AQFE01000015.1	286
CP002160.1	285
CP000681.1	285
JPGY02000001.1	285
ASXP01000006.1	285
CP002160.1	285
CYDC01000057.1	285
CP005927.1	285
CP005927.1	285
CP000503.1	285
CP000514.1	285
CP001383.1	285
AEHZ01000076.1	285
AQBA01000034.1	284
APYA01000055.1	283
FO203503.1	282
CP001087.1	282
CP005188.1	282
CP001349.1	282
ASVO01000034.1	282
CP001672.1	282
MLZI01000057.1	282
FO203503.1	282
FM177140.1	282
MLZI01000039.1	281
CP003879.1	279
AQCN01000023.1	279
CP009122.1	279
CP000616.1	279
CP000539.1	279
LN606600.1	279
LN606600.1	279
AP012547.1	279
AGTS01000028.1	279
CP002657.1	279
AELA02000034.1	276
CP000356.1	276
CP005084.1	276
CP000690.1	276
CP002574.1	273
CP003989.2	273
CP000724.1	273
LRKR01000133.1	273
AVWB01000057.1	273
CP003740.1	273
ANZB01000012.1	270
CP002783.1	270
MIIJ01000023.1	267
CP002287.1	267
CP002783.1	267
CP000514.1	267
CP012199.1	267
CP002798.1	267
CP002449.1	267
CP002527.1	267
CP001635.1	267
MKJR01000036.1	267
MIIV01000206.1	267
MKJQ01000023.1	267
CP013729.1	267
CP002657.1	267
CP000539.1	267
AAUJ02000001.1	264
HG530068.1	264
CYBT01000081.1	264
CP001045.1	264
AE005674.2	264
CP000272.1	264
CP001918.1	264
CP000618.1	264
CP005973.1	264
APXT01000056.1	261
LRLA01000147.1	261
JJMB01000136.1	261
LGMB01000189.1	261
APJK01000252.1	261
AQDD01000044.1	261
APXT01000056.1	261
LGMY01000283.1	260
LRKH01000086.1	260
LGMY01000030.1	260
AVDU01000025.1	259
CP000035.1	258
AHUG01000018.1	258
AQEM01000001.1	258
APZP01000164.1	258
CP005966.1	255
CP000036.1	255
CP003837.1	255
CP003837.1	255
LGME01000139.1	254
CP007448.1	252
LRLA01000044.1	252
CP005958.1	252
CP005958.1	252
CBZU010000001.1	252
CP002736.1	249
AVRH01000090.1	247
CXBV01000342.1	246
CU928162.2	243
MIXK01000058.1	240
AYGW02000085.1	240
CP001349.1	240
AAXY01000043.1	237
AVDU01000102.1	237
CXEP01000655.1	237
CP000039.1	234
FN649418.1	234
CP000503.1	234
CP000891.1	234
JMGQ01000001.1	228
MIWD01000086.1	226
AAOH01000001.1	225
AQAX01000013.1	225
CP017447.1	222
CP000851.1	222
CP000034.1	219
CP019240.1	218
MSJT01000438.1	216
FCOK02000015.1	213
APXN01000134.1	213
CP000036.1	210
CP003837.1	207
MOIM01000174.1	205
CP003837.1	204
APXD01000215.1	201
LGMY01000029.1	195
JRFO01000004.1	192
LGMW01000026.1	190
HF680312.1	189
APZX01000191.1	189
CP018710.1	189
AY879342.1	189
APYZ01000007.1	186
CP003060.1	186
AKMX01000079.1	186
AAMJ02000140.1	186
CP003837.1	186
CP000039.1	186
AOEK01000013.1	186
APXW01000017.1	186
AF348706.1	186
FN822745.1	183
BAYU01000013.1	183
CP004852.1	183
MSKC01000377.1	181
MIIY01000592.1	179
CWZJ01000412.1	177
CU928162.2	177
CP000356.1	174
CP000799.1	174
AP014651.1	174
AQDB01000097.1	171
MIIV01000463.1	171
MSJV01000482.1	168
LRLU01000079.1	168
AMXC01000007.1	168
AKKD02000092.1	167
LGMY01000063.1	166
AQDP01000055.1	165
AFWT01000007.1	163
AE014073.1	159
AQCS01000075.1	156
CP005973.1	153
HE970764.1	153
LRKF01000083.1	153
LRLB01000074.1	152
LGTC01000001.1	150
LGMW01000166.1	150
MIIV01000083.1	150
LGMY01000267.1	150
CP005188.1	147
CXDJ01000301.1	147
JPMZ01000061.1	147
ABKX01000001.1	147
CXDK01000097.1	147
JNMU01000145.1	147
APXX01000181.1	147
CWWT01000209.1	147
LRLY01000166.1	141
MSJY01000168.1	140
CP003837.1	138
AAMJ02000093.1	132
CP002616.1	132
AGRD01000034.1	131
CP000891.1	126
CU928162.2	126
CP001384.1	120
AKKM01000045.1	117
CP001383.1	117
AQBF01000076.1	116
CP000891.1	114
	345
CP012155	950
NC006347	1673
NC006347	365
NC006347	356
NC006347	167
NC004663	1571
NC004663	365
NC004663	344
NC012590	1211
HG003695.1	2370
CP004852.1	669
GU441460.1	1299
JN872329.1	1530
KC795422	447
DQ787200	1349
NC015673	1250
FJ012881.1	1536
KJ186154.1	1233
LGIP01000002	938
	405
	405
AEPD01000037	965
GL945017	950
CAYW010000122	950
ALJQ01000002	938
AF320327	1159
X02581	1067
AL391753	1596
AL391753	674
AL391753	327
CTRI01000001.1	1521
KU130294.1	1515
AB270530.1	1515
KU254577.1	1500
KU254577.1	1500
JX194160.1	1497
AB270530.1	1494
DQ125241.2	1272
CP002879.1	807
CBVQ010000196.1	717
HG916826.1	1509
LK391695.1	1215
HG916826.1	1029
LK391695.1	1257
LK391695.1	1509
LK391695.1	1509
AM261760.1	1149
LK391695.1	1533
LK391695.1	1104
HG916826.1	1509
HG916826.1	444
EF107516.1	813
KU254577.1	804
AM261760.1	798
JX194160.1	798
CYCT01000079.1	786
AB270530.1	768
KU130294.1	756
AB270530.1	711
FP929140.1	351
LK391695.1	822
LK391695.1	213
LPNI01000100	992
Y16016.1	513
AP010962	885
BN000925	369
AF135182	540
11351	706
CP003028	979
CP000784	750
CP000719	909
CP000718	918
BX936400	927
15068	534
CP001137	995
15972	623
CP001927	720
AM905950	979
EU117158.1	873
AF261825.2	792
KJ504228.1	441
AF347074.1	425
AF313472.2	354
EF184217.1	348
KF921520.1	348
HM138673.1	348
CP012682.1	333
CT025799.2	330
JN225877.1	285
KR677151.1	261
KJ620481.1	224
HQ170516.1	219
HQ170510.1	218
KT334335.1	216
DQ401103.1	207
KC820804.1	177
AB759690.1	111
CP011573	864
AF007787	1491
X64695	1491
U83488	1491
NC011140	1491
X92945	1491
AE016833	1491
M17990	477
M13761	441
NC001390	489
GU562624.1	477
DQ088624.1	477
GQ900442.1	477
NC001994	465
SAU96610	465
AB178871	945
AF164559	984
AF511037	975
DQ363750	1533
AY278324	1506
NC002013	678
AP008935	831
EF537646	924
NC010426.1	846
AJ312056.2	678
AB038522	768
EFU01917	402
EU327398	951
AE017171	960
BX571858	744
CP000737	744
CP002115.1	744
GQ900478.1	744
GQ900401.1	744
GQ900485.1	744
AY917098.1	744
AF507977	1041
AB158402	933
AF408195	564
NC009130	972
GQ900390.1	984
NC007931	984
CP000704	984
NC005127	1185
GQ900399.1	984
AP003089.1	975
GQ900385.1	975
GQ900401.1	975
GQ900485.1	975
JDOE	1494
DQ198088	1494
AP003089	876
13334.1	522
AP003367	936
GQ900395.1	936
FN433597.1	990
GQ900496.1	945
GQ900491.1	945
GQ900480.1	945
GQ900426.1	945
GQ900418.1	945
GQ900414.1	945
GQ900396.1	999
EU164802.1	996
AB254848.1	996
AF151117.1	996
GQ900495.1	717
EU350088.1	1004
AJ512814.1	1005
AM990995.1	1050
AF051917.1	950
FM207042.1	927
AY541446.1	1005
GQ900473.1	996
GQ900485.1	717
EU168704.2	996
X03408.1	708
FN377602.2	1182
GU237136.1	1026
EU366902.1	1026
GQ900389.1	989
GQ900391.1	984
BTH011655	1542
DQ242517	1557
CP000047	1557
NC002146	1539
NC002799	828
AF378372	810
EFU26268	855
NC005011	861
AP003139	984
GQ900394.1	861
GQ900405.1	861
AF241888.2	930
AF447813.1	858
AF051916.1	636
AF109375	723
AB037671	945
10284.1	945
NC010111.1	936
GQ900417.1	945
U35036.1	943
BX571857.1	821
AM990994.1	756
AY939911	840
AM990993.1	750
NC002129	936
J03323	945
NC009751	849
AF378372	945
SAU38656	570
NC002096	933
NC005564	945
NC007791	945
5243.1	945
11605.1	939
GQ900440.1	933
NC002630	1017
AJ49170	984
L01794	1011
AY855841	1002
D78016	1002
AE016831	1011
CP013325	612
JX397875	693
	1500
AP008935	1266
AE016832	1506
AF181950	795
NC007790	996
AP003367	936
NZAAAK010000287	1041
M17811.1	1138
FN377602.2	816
FN377602.2	1362
GU562626.1	585
BFU30316	681
CP001784.1	1284
GQ900468.1	966
GQ900502.1	639
GQ900449.1	936
DQ437521	675
AF178424	1176
NC003265	1575
NC002132	513
AB183714	1602
LOPPOG32	960
AF203376	921
KC414929	933
KC414929	1002
KC414929	2199
KC414929	2448
KC414929	507
KC414929	498
KC414929	222
KC414929	990
KC414929	252
KC414929	189
KC414929	423
KC414929	231
KC414929	354
FJ948173.1	2256
LIHO01000010.1	1953
GQ406245.5	1911
JX844629.1	1911
FP929140.1	1899
KU549175.1	1890
CP000644.1	1881
CT025833.1	1854
CP002194.1	1779
KX710093.1	1776
AB270530.1	1722
CP000353.2	1719
EF107516.1	1719
AEEU01000268.1	1716
CTRJ01000005.1	1716
FN806773.1	1701
AB063332.1	1683
Y17897.1	1683
AJ304453.1	1680
JX194160.1	1680
LK391695.1	1680
GQ983559.1	1680
AM993098.1	1674
JNFD01000038.1	1674
JFYY01000019.1	1671
AGFM01000122.1	1671
AM236084.1	1653
FMJB01000001.1	1635
CP002879.1	1632
AY305378.1	1626
LC155906.1	1581
JX194160.1	1494
HQ662557.1	1445
KF439868.1	1242
AGTD01000004.1	1143
KF040452.1	1065
CCES01000002.1	951
KM877517.1	927
JF262170.1	877
KM877517.1	837
CCES01000002.1	834
L29404.2	744
CP008706.1	711
JN566044.1	620
KJ588780.1	432
KF743817.1	423
JX235356.1	409
ALDS01000249.1	130
JN968483.3	1911
AGFM01000122.1	1350
FP929140.1	987
HG938355.1	939
CCRH01000002.1	930
AP014882.1	924
U67194.4	923
CP017646.1	921
GQ406245.5	921
CCRM01000039.1	918
CP002194.1	915
AM261760.1	909
CBTR010000030.1	909
EU306744.1	909
CP002152.1	909
AM993098.1	909
AB063332.1	909
AEEU01000268.1	909
KU254577.1	909
LN794248.1	909
GQ227991.1	909
JN106167.1	909
CP000644.1	897
AMFJ01009282.1	897
AEWV01000009.1	894
AGAZ01000061.1	894
CP000630.1	891
AM236084.1	891
ANGG01000400.1	888
AECL01000076.1	882
CP003566.1	882
FP103042.2	879
AY305378.1	870
CP002879.1	870
KU549175.1	852
AB270530.1	843
JNFD01000038.1	837
KF056330.2	813
CP001856.1	729
EU591509.1	729
CP017656.1	639
CCES01000002.1	513
LC169579.1	452
AP013064.1	426
ALDT01000214.1	414
CCES01000002.1	195
KT779035.1	171
CCES01000002.1	141
AL513383.1	3497
CCSD01000073.1	3090
HF677572.1	3084
FKLR01000027.1	3066
AYLO01000021.1	3066
AB723628.1	3045
JN887338.1	3039
AP008932.1	3036
CP017672.1	3036
CP009111.1	3030
FO681494.1	3030
AY208917.2	3030
KC609323.1	3030
AJ863570.1	3030
FR820585.1	3027
AJ515144.2	3027
AY365053.1	3027
AF333761.1	3027
AM420293.1	3024
AJ250371.1	3022
LO018305.1	3021
U03554.1	3018
KF295829.1	3018
X98999.3	3018
AB375440.1	3015
AF151431.1	3015
Y09450.1	3012
EU780013.1	3009
AP001918.1	3009
CP012903.1	3009
KM107842.1	3009
FN649418.1	3009
KF483599.2	3006
CBTJ020000114.1	3006
Y17830.1	3006
KF826292.1	3006
KJ511462.1	3006
CP010516.1	3000
KJ406378.1	3000
AY123045.1	2997
KU254577.1	2997
KF295829.1	2994
HE577330.1	2994
CXZU01000085.1	2994
CR377166.1	2994
BAER01000036.1	2994
CAOF01000139.1	2994
KJ541070.1	2994
AM743169.1	2994
FR854089.1	2991
CP007448.1	2988
FP236830.1	2985
CP002179.1	2985
AH010393.2	2985
HE798556.1	2985
CXPB01000088.1	2985
AB262965.1	2983
CP000646.1	2982
LN681228.1	2979
